company,item,calories,calories_from_fat,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbs_g,fiber_g,sugars_g,protein_g,weight_watchers_pnts
McDonald’s,Hamburger,25.0,8.0,0.9,0.35,0.05,25.0,520.0,3.1,0.2,0.6,1.2,24.75
McDonald’s,Cheeseburger,30.0,11.0,1.2,0.6,0.05,40.0,750.0,3.3,0.2,0.6,1.5,29.7
McDonald’s,Double Cheeseburger,44.0,21.0,2.3,1.1,0.15,80.0,1150.0,3.4,0.2,0.7,2.5,43.3
McDonald’s,McDouble,39.0,17.0,1.9,0.8,0.1,65.0,920.0,3.3,0.2,0.7,2.2,38.3
McDonald’s, Quarter Pounder® with Cheese,51.0,23.0,2.6,1.2,0.15,90.0,1190.0,4.0,0.3,0.9,2.9,50.2
McDonald’s,Double Quarter Pounder® with Cheese,74.0,38.0,4.2,1.9,0.25,155.0,1380.0,4.0,0.3,0.9,4.8,72.0
McDonald’s,Big Mac®,54.0,26.0,2.9,1.0,0.15,75.0,1040.0,4.5,0.3,0.9,2.5,53.4
McDonald’s,Big N’ Tasty®,46.0,22.0,2.4,0.8,0.15,70.0,720.0,3.7,0.3,0.8,2.4,45.2
McDonald’s,Big N’ Tasty® with Cheese,51.0,25.0,2.8,1.1,0.15,85.0,960.0,3.8,0.3,0.8,2.7,50.2
McDonald’s,Angus Bacon & Cheese,79.0,35.0,3.9,1.7,0.2,145.0,2070.0,6.3,0.4,1.3,4.5,77.5
McDonald’s,Angus Deluxe,75.0,35.0,3.9,1.6,0.2,135.0,1700.0,6.1,0.4,1.0,4.0,73.6
McDonald’s,Angus Mushroom & Swiss,77.0,36.0,4.0,1.7,0.2,135.0,1170.0,5.9,0.4,0.8,4.4,75.1
McDonald’s,Filet-O-Fish®,38.0,17.0,1.8,0.35,0.0,40.0,640.0,3.8,0.2,0.5,1.5,37.35
McDonald’s,McChicken ®,36.0,15.0,1.6,0.3,0.0,35.0,830.0,4.0,0.2,0.5,1.4,35.4
McDonald’s,McRib ®,50.0,24.0,2.6,1.0,0.0,70.0,980.0,4.4,0.3,1.1,2.2,49.9
McDonald’s,Premium Grilled Chicken Classic Sandwich,36.0,8.0,0.9,0.2,0.0,65.0,820.0,4.1,0.4,0.8,2.7,34.3
McDonald’s,Premium Crispy Chicken Classic Sandwich,51.0,20.0,2.2,0.35,0.0,45.0,990.0,5.6,0.3,1.0,2.4,49.95
McDonald’s,Premium Grilled Chicken Club Sandwich,46.0,15.0,1.7,0.6,0.0,90.0,1040.0,4.3,0.4,0.9,3.5,44.0
McDonald’s,Premium Crispy Chicken Club Sandwich,62.0,26.0,2.9,0.7,0.0,70.0,1200.0,5.7,0.3,1.1,3.1,60.7
McDonald’s,Premium Grilled Chicken Ranch BLT Sandwich,38.0,9.0,1.0,0.3,0.0,75.0,1000.0,4.1,0.4,0.9,3.1,36.1
McDonald’s,Premium Crispy Chicken Ranch BLT Sandwich,54.0,21.0,2.3,0.45,0.0,55.0,1160.0,5.6,0.3,1.1,2.7,52.85
McDonald’s,Southern Style Crispy Chicken Sandwich,40.0,15.0,1.7,0.3,0.0,45.0,1030.0,3.9,0.1,0.6,2.4,38.5
McDonald’s,Ranch Snack Wrap® (Crispy),34.0,15.0,1.7,0.45,0.0,30.0,810.0,3.3,0.1,0.2,1.4,33.25
McDonald’s,Ranch Snack Wrap® (Grilled),27.0,9.0,1.0,0.4,0.0,45.0,830.0,2.6,0.1,0.2,1.8,25.8
McDonald’s,Honey Mustard Snack Wrap® (Crispy),33.0,14.0,1.6,0.45,0.0,30.0,780.0,3.4,0.1,0.4,1.4,32.45
McDonald’s,Honey Mustard Snack Wrap® (Grilled),26.0,8.0,0.9,0.35,0.0,45.0,800.0,2.7,0.1,0.4,1.8,24.95
McDonald’s,Chipotle BBQ Snack Wrap® (Crispy),33.0,14.0,1.5,0.45,0.0,30.0,810.0,3.5,0.1,0.4,1.4,32.45
McDonald’s,Chipotle BBQ Snack Wrap® (Grilled),26.0,8.0,0.9,0.35,0.0,45.0,830.0,2.8,0.1,0.5,1.8,25.05
McDonald’s,Angus Bacon & Cheese Snack Wrap,39.0,19.0,2.1,0.9,0.1,75.0,1080.0,2.8,0.1,0.4,2.1,38.2
McDonald’s,Angus Chipotle BBQ Bacon,80.0,35.0,3.9,1.8,0.2,145.0,2020.0,6.6,0.4,1.6,4.5,78.9
McDonald’s,Angus Chipotle BBQ Bacon Snack Wrap,40.0,19.0,2.2,1.0,0.1,75.0,1060.0,3.0,0.1,0.6,2.1,39.5
McDonald’s,Angus Deluxe Snack Wrap,41.0,22.0,2.5,1.0,0.15,75.0,990.0,2.7,0.2,0.3,2.0,40.3
McDonald’s,Angus Mushroom & Swiss Snack Wrap,43.0,23.0,2.6,1.0,0.15,75.0,730.0,2.7,0.2,0.2,2.2,42.0
McDonald’s,Mac Snack Wrap,33.0,17.0,1.9,0.7,0.1,45.0,690.0,2.6,0.1,0.3,1.5,32.5
McDonald’s,Small French Fries,23.0,10.0,1.1,0.15,0.0,0.0,160.0,2.9,0.3,0.0,0.3,22.85
McDonald’s,Medium French Fries,38.0,17.0,1.9,0.25,0.0,0.0,270.0,4.8,0.5,0.0,0.4,37.85
McDonald’s,Large French Fries,50.0,22.0,2.5,0.35,0.0,0.0,350.0,6.3,0.6,0.0,0.6,49.75
McDonald’s,Ketchup Packet,1.5,0.0,0.0,0.0,0.0,0.0,110.0,0.3,0.0,0.2,0.0,1.7
McDonald’s,Salt Packet,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0
McDonald’s,Chicken McNuggets® (4 piece),19.0,11.0,1.2,0.2,0.0,25.0,360.0,1.2,0.1,0.0,0.9,18.3
McDonald’s,Chicken McNuggets® (6 piece),28.0,16.0,1.8,0.3,0.0,40.0,540.0,1.8,0.1,0.0,1.3,27.0
McDonald’s,Chicken McNuggets® (10 piece),47.0,27.0,3.0,0.5,0.0,65.0,900.0,3.0,0.2,0.0,2.2,45.3
McDonald’s,Barbeque Sauce,5.0,0.0,0.0,0.0,0.0,0.0,260.0,1.2,0.0,1.0,0.0,6.0
McDonald’s,Honey,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.1,0.0,6.1
McDonald’s,Hot Mustard Sauce,6.0,2.0,0.25,0.0,0.0,5.0,250.0,0.9,0.2,0.6,0.1,6.5
McDonald’s,Sweet ‘N Sour Sauce,5.0,0.0,0.0,0.0,0.0,0.0,150.0,1.2,0.0,1.0,0.0,6.0
McDonald’s,Chicken Selects® Premium Breast Strips (3 pc),40.0,21.0,2.4,0.35,0.0,50.0,1010.0,2.3,0.0,0.0,2.3,38.05
McDonald’s,Chicken Selects® Premium Breast Strips (5 pc),66.0,36.0,4.0,0.6,0.0,85.0,1680.0,3.9,0.0,0.0,3.8,62.8
McDonald’s,Spicy Buffalo Sauce,6.0,5.0,0.6,0.1,0.0,0.0,800.0,0.1,0.1,0.0,0.0,6.1
McDonald’s,Creamy Ranch Sauce,17.0,16.0,1.8,0.3,0.0,10.0,270.0,0.2,0.0,0.1,0.0,17.4
McDonald’s,Tangy Honey Mustard Sauce,6.0,2.0,0.2,0.0,0.0,5.0,140.0,1.0,0.0,0.8,0.0,6.8
McDonald’s,Southwestern Chipotle Barbeque Sauce,6.0,0.0,0.0,0.0,0.0,0.0,210.0,1.5,0.1,1.1,0.0,7.1
McDonald’s,Premium Southwest Salad with Grilled Chicken,32.0,8.0,0.9,0.3,0.0,70.0,960.0,3.0,0.6,1.1,3.0,30.4
McDonald’s,Premium Southwest Salad with Crispy Chicken,43.0,18.0,2.0,0.4,0.0,55.0,920.0,3.8,0.6,1.2,2.6,42.0
McDonald’s,Premium Southwest Salad (without chicken),14.0,4.0,0.45,0.2,0.0,10.0,150.0,2.0,0.6,0.6,0.6,14.2
McDonald’s,Premium Bacon Ranch Salad with Grilled Chicken,26.0,9.0,0.9,0.4,0.0,90.0,1010.0,1.2,0.3,0.5,3.3,23.6
McDonald’s,Premium Bacon Ranch Salad with Crispy Chicken,37.0,18.0,2.0,0.6,0.0,75.0,970.0,2.0,0.3,0.6,2.9,35.3
McDonald’s,Premium Bacon Ranch Salad (without chicken),14.0,7.0,0.7,0.35,0.0,25.0,300.0,1.0,0.3,0.4,0.9,13.85
McDonald’s,Premium Caesar Salad with Grilled Chicken,22.0,6.0,0.6,0.3,0.0,75.0,890.0,1.2,0.3,0.5,3.0,19.8
McDonald’s,Premium Caesar Salad with Crispy Chicken,33.0,15.0,1.7,0.45,0.0,60.0,840.0,2.0,0.3,0.6,2.6,31.45
McDonald’s,Premium Caesar Salad (without chicken),9.0,3.5,0.4,0.25,0.0,10.0,180.0,0.9,0.3,0.4,0.7,8.95
McDonald’s,Side Salad,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4,0.1,0.2,0.1,2.1
McDonald’s,Butter Garlic Croutons,6.0,1.5,0.15,0.0,0.0,0.0,140.0,1.0,0.1,0.0,0.2,5.8
McDonald’s,Snack Size Fruit & Walnut Salad,21.0,7.0,0.8,0.15,0.0,5.0,60.0,3.1,0.2,2.5,0.4,23.25
McDonald’s,Newman’s Own® Creamy Southwest Dressing,10.0,5.0,0.6,0.1,0.0,20.0,340.0,1.1,0.0,0.3,0.1,10.3
McDonald’s,Newman’s Own® Creamy Caesar Dressing,19.0,17.0,1.8,0.35,0.0,20.0,500.0,0.4,0.0,0.2,0.2,19.35
McDonald’s,Newman’s Own® Low Fat Balsamic Vinaigrette,4.0,2.5,0.3,0.0,0.0,0.0,730.0,0.4,0.0,0.3,0.0,4.3
McDonald’s,Newman’s Own® Low Fat Family Recipe Italian Dressing,6.0,2.0,0.25,0.0,0.0,0.0,730.0,0.8,0.0,0.1,0.1,6.0
McDonald’s,Newman’s Own® Ranch Dressing,17.0,13.0,1.5,0.25,0.0,20.0,530.0,0.9,0.0,0.4,0.1,17.55
McDonald’s,Egg McMuffin®,30.0,11.0,1.2,0.5,0.0,260.0,820.0,3.0,0.2,0.3,1.8,29.0
McDonald’s,Sausage McMuffin®,37.0,20.0,2.2,0.8,0.0,45.0,850.0,2.9,0.2,0.2,1.4,36.6
